City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
148,tura,25.5198,90.2201,25.84,92,1,3.31,IN,1717952960
149,machico,32.7,-16.7667,23.4,77,75,1.54,PT,1717952953
150,baiti,13.745,-14.7482,36.12,32,99,4.09,SN,1717952960
151,sinjar,36.3209,41.8754,34.17,12,3,4.81,IQ,1717952960
152,whitehorse,60.7161,-135.0538,18.34,30,85,4.47,CA,1717952826
153,kingston,17.997,-76.7936,32.31,63,100,4.43,JM,1717952826
154,burela de cabo,43.65,-7.4,17.87,77,100,4.27,ES,1717952961
155,qaqortoq,60.7167,-46.0333,6.26,96,100,1.66,GL,1717952793
156,martapura,-3.4167,114.85,26.05,94,43,0.0,ID,1717952762
157,la sierpe,2.8518,-77.6155,28.83,77,82,2.73,CO,1717952961
158,magadan,59.5667,150.8,4.74,95,93,1.28,RU,1717952961
159,sao paulo de olivenca,-3.3783,-68.8725,29.06,76,92,0.72,BR,1717952771
160,yanbu,24.0891,38.0637,39.02,22,0,4.12,SA,1717952961
161,hirara,24.8,125.2833,27.26,85,10,3.02,JP,1717952961
162,coronel dorrego,-38.7187,-61.2873,15.74,91,100,6.81,AR,1717952961
163,salinopolis,-0.6136,-47.3561,28.9,73,88,4.94,BR,1717952962
164,salinas,36.6777,-121.6555,18.78,75,75,4.63,US,1717952962
165,masjed soleyman,31.9364,49.3039,39.75,11,0,2.18,IR,1717952962
166,kiuruvesi,63.65,26.6167,10.49,96,100,4.42,FI,1717952962
167,jonquiere,48.4165,-71.2488,15.06,90,100,1.03,CA,1717952710
168,navirai,-23.065,-54.1906,32.89,25,97,6.73,BR,1717952962
169,qingyuan,23.7,113.0333,25.99,96,100,0.98,CN,1717952962
170,guaratuba,-25.8828,-48.5747,21.72,77,44,2.92,BR,1717952962
171,stony plain,53.5334,-114.0021,7.2,88,100,1.74,CA,1717952962
172,pisco,-13.7,-76.2167,17.03,94,100,3.09,PE,1717952646
173,marka,1.7159,44.7717,25.85,82,62,8.43,SO,1717952963
174,wailua homesteads,22.0669,-159.378,23.44,87,100,6.17,US,1717952746
175,tucano,-10.9631,-38.7867,31.03,38,9,4.91,BR,1717952911
176,amga,60.8953,131.9608,10.16,68,35,0.77,RU,1717952963
177,ixtapa,20.7,-105.2,28.57,70,20,3.6,MX,1717952963
178,ilha de mocambique,-15.0342,40.7358,25.35,67,97,11.32,MZ,1717952963
179,mirny,62.5353,113.9611,10.69,83,1,2.68,RU,1717952963
180,bull savanna,17.8868,-77.5902,28.32,68,99,8.46,JM,1717952963
181,port lincoln,-34.7333,135.8667,14.91,55,100,3.13,AU,1717952862
182,tindouf,27.6711,-8.1474,33.34,17,0,10.43,DZ,1717952964
183,pemangkat,1.1667,108.9667,27.6,82,54,2.78,ID,1717952964
184,san antonio de pale,-1.4014,5.6325,25.1,79,70,4.73,GQ,1717952756
185,ushuaia,-54.8,-68.3,0.79,80,20,1.54,AR,1717952640
186,fale old settlement,-9.3852,-171.2468,28.75,71,99,4.0,TK,1717952803
187,borogontsy,62.6683,131.1683,9.31,63,0,0.74,RU,1717952964
188,alexandria,31.2156,29.9553,25.04,72,0,6.11,EG,1717952964
189,gwadar,25.1216,62.3254,29.22,84,0,7.22,PK,1717952964
190,quesnel,52.9999,-122.5029,13.47,56,100,1.57,CA,1717952964
191,joshimath,30.5667,79.5667,16.77,57,62,3.01,IN,1717952964
192,vila velha,-20.3297,-40.2925,28.31,99,20,2.57,BR,1717952391
193,castillos,-34.1667,-53.8333,24.03,71,97,6.45,UY,1717952940
194,tangalle,6.024,80.7911,25.98,91,98,4.7,LK,1717952965
195,nioki,-2.7167,17.6833,29.08,48,87,0.4,CD,1717952965
196,chicomuselo,15.7667,-92.2667,32.07,50,100,1.83,MX,1717952965
197,pacific grove,36.6177,-121.9166,17.79,81,75,2.24,US,1717952811
198,praia da vitoria,38.7333,-27.0667,22.64,68,20,4.72,PT,1717952793
199,ciutadella,40.0011,3.8414,26.45,79,64,4.59,ES,1717952965
200,puerto santa,-8.9906,-78.6456,20.07,75,95,3.23,PE,1717952965
201,port mathurin,-19.6833,63.4167,24.3,82,64,7.99,MU,1717952753
202,lata,40.1629,-8.3327,20.6,68,100,3.59,PT,1717952965
203,marica,-22.9194,-42.8186,27.97,62,20,2.93,BR,1717952857
204,richards bay,-28.783,32.0377,16.42,68,0,2.9,ZA,1717952729
205,remire-montjoly,4.9167,-52.2667,30.02,74,25,2.06,GF,1717952876
206,kenai,60.5544,-151.2583,13.05,60,0,6.17,US,1717952966
207,ilhabela,-23.7781,-45.3581,24.69,69,16,2.19,BR,1717952966
208,suva,-18.1416,178.4415,18.71,100,75,1.54,FJ,1717952769
209,udaipur,24.5712,73.6918,33.04,25,54,2.03,IN,1717952940
210,la'ie,21.6477,-157.9253,25.0,75,9,2.68,US,1717952950
211,kirakira,-10.4544,161.9205,26.99,87,69,4.34,SB,1717952758
212,yuzhno-kurilsk,44.0306,145.8556,11.32,93,99,3.75,RU,1717952966
213,dowlatabad,32.7998,51.6955,26.82,14,20,4.12,IR,1717952966
214,ribeira grande,38.5167,-28.7,22.22,78,20,6.26,PT,1717952807
215,vilyuchinsk,52.9306,158.4028,11.07,88,99,3.88,RU,1717952966
216,suluru,13.7,80.0167,31.95,59,100,0.4,IN,1717952967
217,colonia,50.9333,6.95,20.81,39,0,5.14,DE,1717952822
218,nemuro,43.3236,145.575,9.96,95,100,6.26,JP,1717952881
219,tralee,52.2704,-9.7026,15.14,77,75,3.6,IE,1717952776
220,tazovsky,67.4667,78.7,1.91,81,65,2.64,RU,1717952890
221,ouled mimoun,34.9047,-1.0339,21.01,51,68,4.91,DZ,1717952967
